Segment,Age,AGENT_FIRST_NAME,AGENT_LAST_NAME,AGENT_DOB,row_count,NPN,LICENSE_NUMBER,LICENSE_TYPE,BROKERDEALER_NAME,QUALIFICATION,CITY,STATE_REGISTERED_ARRAY,NUM_STATE_REGISTERED,EDUCATION,GENDER,HOUSE_OWNERSHIP,MAPPED_CUST_ID,MARITAL_STATUS,NO_OF_CHILDRENS,NO_OF_DEPENDENTS,OCCUPATION,POSTAL_CODE,PURCHASE_HABITS_APPAREL,PURCHASE_HABITS_COMPUTERS,PURCHASE_HABITS_FITNESS,PURCHASE_HABITS_OTHERS,PURCHASE_HABITS_TRAVEL,max,REPCRD,BDFIRMCRD,INDEPENDENT_CONTRACTOR_FLAG,AUM_SELFREPORTED,AGENT_TENURE,NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS,label,NPS_FEEDBACK,NPS_SCORE,AGENT_ID,MEMBERSHIP_STATUS_DATE,AGENT_MEMBERSHIP_PROGRAM_STATUS,CHANNEL,COMPLAINTS_LAST_12_MONTHS,COMPLAINT_CATEGORY,PREMIUM_AMOUNT
Independent Agents,57,ISABEL,GALLEGOS,-58060800000,1,21349391,3243917,General Lines Agent,"[""Rich & Cartmill Inc.""]","Life, Accident, Health & HMO",PFLUGERVILLE,"[""ND"",""IA""]",2,HIGH_SCHOOL,M,RENT,4868346506,WIDOWED,3,1,CONSULTANT,78660,0,1,0,1,0,state,677801,75287,,5959957,9.3,9,Detractor,Rep was rude and unhelpful when I called for assistance.,4,4868346506,1677801600000,Sent,Referral,2,Sales,8223
Emerging Experts,42,TIANEKA,ARQUETTE,424483200000,1,20183764,3075489,General Lines Agent,"[""Trucordia""]","Life, Accident, Health & HMO",FOLEY,"[""SD"",""AR"",""LA""]",3,ASSOCIATE,M,OWN,4916902236,WIDOWED,1,3,BROKER,365354374,1,0,0,0,1,state,394339,56767,,2475325,2.6,7,Passive,Received generic responses on email but issues were eventually resolved.,7,4916902236,1668470400000,Visited,Search,4,Service,4353
Independent Agents,51,ASIAH,ROBERTS,141436800000,1,20499692,3174135,Adjuster,"[""USI Insurance Services""]",Adjuster - All Lines,PLANO,"[""FL"",""NY"",""WY"",""MS""]",4,ASSOCIATE,F,OTHER,4972401576,SINGLE,1,4,ADJUSTER,75093,0,0,0,1,0,state,677786,33288,1,0,3.3,7,Passive,Received all my policy documents on time. Haven't faced issues so far.,8,4972401576,1762473600000,Visited,Web Content,5,Policy,4165
Comfortable retirees,65,THOMAS,CLARK,-305164800000,1,6649937,3043051,General Lines Agent,"[""The Liberty Company Insurance Brokers""]",Property and Casualty,HOLLYWOOD,"[""IL"",""OR"",""VA""]",3,DOCTORATE,M,RENT,4991668162,SINGLE,3,1,ADJUSTER,33020,0,0,1,1,1,state,270212,90987,1,9056505,6.6,11,Promoter,Policy benefits exceeded my expectations and premiums are reasonable.,10,4991668162,1668470400000,Visited,Referral,0,,6706
Independent Agents,54,THOMAS,CLARK,26697600000,1,7091560,1133234,General Lines Agent,"[""Shepherd Insurance""]","Life, Accident, Health & HMO",DALLAS,"[""NM"",""TN""]",2,DOCTORATE,F,RENT,4991668162,SINGLE,3,1,ADJUSTER,75219,0,0,1,1,1,state,162514,61251,,4007589,18,11,Promoter,Policy benefits exceeded my expectations and premiums are reasonable.,10,4991668162,1668470400000,Visited,Referral,0,,5837
Independent Agents,27,THOMAS,CLARK,888364800000,1,7666510,1223937,General Lines Agent,"[""Atlas Insurance Brokers LLC""]","Life, Accident, Health & HMO",HOUSTON,"[""FL""]",1,DOCTORATE,F,RENT,4991668162,SINGLE,3,1,ADJUSTER,772441587,0,0,1,1,1,state,665271,90215,1,2741294,9.2,11,Promoter,Policy benefits exceeded my expectations and premiums are reasonable.,10,4991668162,1668470400000,Visited,Referral,0,,8915
Independent Agents,54,GABRIELLE,BRYANT,38102400000,1,17000636,2471250,Risk Manager,"[""World Insurance Associates LLC""]",NONE,THE WOODLANDS,"[""NV"",""SD"",""AR"",""TX""]",4,MASTER,F,OWN,5046084489,SINGLE,2,3,SERVICE,773804203,0,1,0,0,0,state,656572,19884,,0,3.4,2,Detractor,Unexpected policy lapses due to hidden rules.,3,5046084489,1664064000000,Visited,Search,0,,7902
Accomplished Professionals,51,MELISSA,DANIELS,131760000000,1,20390310,2880434,General Lines Agent,"[""Towne Insurance""]",Property and Casualty,LOWMANSVILLE,"[""MO"",""NH"",""AL"",""NC""]",4,BACHELOR,F,MORTGAGE,5088667065,MARRIED,1,0,ADJUSTER,41232,0,1,1,0,1,state,928768,48826,,648932,6,9,Detractor,Claims process is tedious and paperwork-heavy.,4,5088667065,1632355200000,Sent,Multichannel Initiative,3,Sales,9380
Independent Agents,57,JOYCE,PARISSE,-74563200000,1,21231527,3192839,General Lines Agent,"[""The Liberty Company Insurance Brokers""]","Life, Accident, Health & HMO",GEORGETOWN,"[""NM"",""NY"",""WA"",""NC""]",4,HIGH_SCHOOL,M,RENT,5099097208,WIDOWED,2,2,CONSULTANT,78628,1,1,0,1,0,state,933367,37945,,6183690,13.1,4,Passive,"No major complaints, but nothing stands out as excellent either.",7,5099097208,1715040000000,Sent,Search,2,Service,4158
Independent Agents,29,TYSON,VANCE,817344000000,1,20557469,2947871,Adjuster,"[""Associated Insurance Management LLC""]",Adjuster - All Lines,MURFREESBORO,"[""IL""]",1,DOCTORATE,F,RENT,5106987997,WIDOWED,3,4,CONSULTANT,37129,1,0,1,1,1,state,998100,23789,1,4496398,18.9,16,Promoter,Excellent accident coverage for the entire family – claims paid without hassle.,9,5106987997,1763337600000,Sent,Event,2,Claims,4817
Independent Agents,52,CHASE,CARLISLE,99100800000,1,20849855,3103055,General Lines Agent,"[""Alera Group""]","Life, Accident, Health & HMO",TAMPA,"[""MI"",""IN"",""NV"",""PA""]",4,ASSOCIATE,F,MORTGAGE,5127867710,DIVORCED,2,4,CONSULTANT,33619,0,0,0,1,0,state,594198,61596,,6337694,14.2,4,Promoter,Policy benefits exceeded my expectations and premiums are reasonable.,10,5127867710,1698364800000,Visited,Web Content,1,Policy,5247
Independent Agents,40,WILLIAM,WEISS,467683200000,1,19542182,2956975,General Lines Agent,"[""The Plastridge Agency Inc.""]","Life, Accident, Health & HMO",PEQUOT LAKES,"[""MI""]",1,MASTER,F,MORTGAGE,5132531944,WIDOWED,1,0,ADJUSTER,564723453,1,1,1,1,0,state,557685,15617,1,8509473,9,16,Promoter,Easy premium payments and transparent policy terms.,9,5132531944,1743120000000,Visited,Web Content,0,,5934
Independent Agents,63,PARIS,BREESE,-263174400000,1,20675030,2990169,General Lines Agent,"[""Sunstar Insurance Group""]","Life, Accident, Health & HMO",BALTIMORE,"[""TN"",""MD"",""GA""]",3,DOCTORATE,F,OTHER,5156523289,MARRIED,1,4,ADJUSTER,21202,0,0,0,1,1,state,197325,73948,1,35430567,20,7,Promoter,Helpful and caring representatives made sure I chose the right plan.,10,5156523289,1725840000000,Registered,Email Non Nurture,6,Billing,5900
Independent Agents,25,JODY,COLLINS,944092800000,1,7648748,1231278,General Lines Agent,"[""TRICOR Insurance""]",Property and Casualty,DALLAS,"[""AK"",""DE""]",2,DOCTORATE,F,MORTGAGE,5226491982,WIDOWED,1,2,CONSULTANT,75247,0,0,1,1,0,state,351873,23953,1,6603059,2.5,8,Promoter,Highly recommended for their knowledgeable agents and flexible policy options!,10,5226491982,1695081600000,Visited,Web Content,11,Website,6305
Independent Agents,58,LOGAN,PALMA,-101865600000,1,21057374,3129375,Pers Lines Prop and Cas Agent,"[""Christensen Group Inc.""]",Personal Lines Prop and Cas,LAKE WALES,"[""MT""]",1,HIGH_SCHOOL,F,MORTGAGE,5239401815,WIDOWED,1,3,MANAGER,338534259,1,0,0,1,1,state,849368,64993,1,4864887,7.8,4,Passive,Very high deductibles and complicated claim filing steps.,5,5239401815,1684886400000,Sent,Paid Social,0,,4554
Independent Agents,30,JULIE,FERNANDEZ,806544000000,1,20781027,3033115,Adjuster,"[""Rate Insurance LLC""]",Adjuster - All Lines,DALLAS,"[""WA"",""AL""]",2,BACHELOR,F,OTHER,5249841438,DIVORCED,3,0,BROKER,75204,1,1,0,0,1,state,841868,84587,,4067403,4.9,6,Detractor,Claim payout took over three months after countless follow-ups.,3,5249841438,1725926400000,Registered,Web Content,0,,4104
Independent Agents,58,ANGELA,SCHMERBER,-79920000000,1,21637914,3355205,General Lines Agent,"[""Cross Insurance""]",Property and Casualty,KILLEEN,"[""KS"",""SD"",""PA""]",3,DOCTORATE,M,OWN,5258573120,DIVORCED,0,2,SERVICE,76542,0,1,0,1,1,state,358829,91406,1,3046166,4.5,19,Promoter,Support team provided expert advice in optimizing my coverage.,9,5258573120,1718064000000,Visited,Referral,8,Claims,6340
Independent Agents,40,CINDY,DANG,472694400000,1,16441090,2929787,General Lines Agent,"[""Huntington Insurance""]","Life, Accident, Health & HMO",GARDEN GROVE,"[""NM""]",1,DOCTORATE,M,MORTGAGE,5305631674,WIDOWED,3,3,ADJUSTER,92843,1,1,1,0,0,state,432489,38267,1,6756186,20.4,1,Promoter,Excellent accident coverage for the entire family – claims paid without hassle.,9,5305631674,1742169600000,Sent,Paid Social,6,Service,5737
Independent Agents,32,SHERRI,HAMILTON,745804800000,1,19088446,3103856,General Lines Agent,"[""Vantage Insurance Partners""]","Life, Accident, Health & HMO",MOORE,"[""NE""]",1,MASTER,M,MORTGAGE,5336223484,MARRIED,0,1,AGENT,731607042,1,1,0,0,0,state,371627,67675,,0,3.9,2,Promoter,Easy to work with; I feel well covered.,9,5336223484,1737072000000,Registered,Multichannel Initiative,3,Claims,5771
Independent Agents,54,AMY,OVALLE,43977600000,1,19627661,3263401,General Lines Agent,"[""Huntington Insurance""]","Life, Accident, Health & HMO",GREENVILLE,"[""ND""]",1,BACHELOR,M,OWN,5379612114,MARRIED,3,0,BROKER,29607,1,0,0,0,0,state,900831,13922,,0,16.2,4,Passive,"My questions were answered, but agent was a bit formal.",8,5379612114,1690070400000,Registered,Event,11,Policy,3686
Independent Agents,51,MARLIN,BAKER,119836800000,1,20696109,3063861,Adjuster,"[""Haas & Wilkerson Insurance""]",Adjuster - All Lines,DECATUR,"[""UT"",""ID"",""CT""]",3,DOCTORATE,F,MORTGAGE,5524266779,SINGLE,3,2,CONSULTANT,62526,1,1,0,0,0,state,324960,75665,1,26378926,7.1,10,Passive,Premiums are about what I expected compared to other insurers.,8,5524266779,1676073600000,Sent,Event,4,Sales,4409
Emerging Experts,49,MARTINA,NEVITT,196992000000,1,13591108,2840079,General Lines Agent,"[""Rate Insurance LLC""]","Life, Accident, Health & HMO",HIGHLANDS RANCH,"[""NV""]",1,DOCTORATE,M,OWN,5549613609,DIVORCED,0,3,SERVICE,801295777,1,1,0,0,1,state,989671,28750,,1025748,16.5,2,Detractor,"No clarity about policy renewal terms, led to missed coverage.",3,5549613609,1700438400000,Clicked,Web Content,0,,4063
Independent Agents,51,SAMMY,RAMIREZ,124156800000,1,18122133,2143890,General Lines Agent,"[""Lockton""]","Life, Accident, Health & HMO",GREENACRES,"[""CT"",""NJ"",""AL""]",3,MASTER,M,MORTGAGE,5655587235,DIVORCED,2,3,CONSULTANT,334632315,1,0,1,1,1,state,897622,27856,,4658175,8.3,13,Passive,"Decent options for add-ons, though plan features could be clearer.",7,5655587235,1766361600000,Sent,Web Content,4,Billing,4691
Independent Agents,55,DEBRA,HERRING,-8294400000,1,16156779,1672840,General Lines Agent,"[""Watkins Insurance Group""]","Life, Accident, Health & HMO",KEITHVILLE,"[""AL""]",1,HIGH_SCHOOL,M,MORTGAGE,5660637651,WIDOWED,2,2,ADJUSTER,71047,1,0,1,0,0,state,755661,62079,,37520348,8.9,4,Passive,"Some policy wording is hard to understand, but got help when I called.",7,5660637651,1691884800000,Sent,Search,0,,4552
Independent Agents,55,RONDA,OLIVER,-7603200000,1,3422742,1062833,General Lines Agent,"[""Higginbotham""]","Life, Accident, Health & HMO",RICHMOND,"[""MD"",""WV"",""UT""]",3,MASTER,F,RENT,5743764897,MARRIED,3,2,AGENT,774698873,0,0,0,0,0,state,189373,24310,1,0,4.7,6,Passive,"Policy purchase was smooth, but I haven't needed to claim yet.",7,5743764897,1757203200000,Sent,Paid Social,1,Service,4190
Accomplished Professionals,57,AMBER,HENDRIX,-70416000000,1,20632148,2969068,General Lines Agent,"[""Robertson Ryan Insurance""]","Life, Accident, Health & HMO",TOMBALL,"[""CT"",""RI""]",2,MASTER,M,RENT,5772600280,MARRIED,1,4,BROKER,773751230,0,0,1,0,1,state,979958,48752,,7902738,7.5,4,Detractor,Denied my hospitalization claim without sufficient reason.,4,5772600280,1592438400000,Visited,Web Content,1,Service,3529
Independent Agents,59,NATALIE,ROSS,-134956800000,1,6212545,1585047,General Lines Agent,"[""Buckner Company""]","Life, Accident, Health & HMO",HOBOKEN,"[""KS"",""UT""]",2,ASSOCIATE,F,OTHER,5773410055,SINGLE,0,2,AGENT,07030,0,1,0,1,1,state,469176,20196,,9514456,0.7,6,Detractor,Difficult to get in touch with anyone after filing a claim.,2,5773410055,1745798400000,Registered,Multichannel Initiative,0,,3449
Independent Agents,62,JAMES,PRIEBE,-210124800000,1,6966526,2357358,General Lines Agent,"[""Hilb Group""]","Life, Accident, Health & HMO",LAKEVILLE,"[""OR""]",1,ASSOCIATE,F,OTHER,5773436685,WIDOWED,2,3,MANAGER,55044,1,1,0,0,0,state,627943,78010,1,4920178,1.1,14,Passive,"Policy purchase was smooth, but I haven't needed to claim yet.",7,5773436685,1677888000000,Registered,Web Content,0,,3818
Emerging Experts,50,KALEB-THOMAS,JONES,146793600000,1,21522402,3309459,General Lines Agent,"[""Towne Insurance""]","Life, Accident, Health & HMO",LAKELAND,"[""MT""]",1,BACHELOR,M,MORTGAGE,5787460441,SINGLE,3,4,SERVICE,33805,1,1,0,1,1,state,625768,53044,,0,17.5,3,Detractor,Denied my hospitalization claim without sufficient reason.,3,5787460441,1697414400000,Visited,Event,6,Service,3419
Independent Agents,60,VALERIE,ODONNELL,-165196800000,1,20568521,3287756,General Lines Agent,"[""Mackoul Risk Solutions LLC.""]",Property and Casualty,EL PASO,"[""IA"",""KS"",""NE""]",3,HIGH_SCHOOL,F,OWN,5796093280,SINGLE,1,4,SERVICE,799048483,1,0,1,0,1,state,649887,53513,,6761867,0.8,2,Passive,Most interactions have been average – neither notably good nor bad.,7,5796093280,1707350400000,Sent,Multichannel Initiative,0,,4171
Independent Agents,41,JAMES,DYKES,441244800000,1,8607177,2960027,Adjuster,"[""Alliant Insurance Services/Confie""]",Adjuster - P&C,SUMRALL,"[""OR"",""RI""]",2,BACHELOR,F,RENT,5799208444,SINGLE,1,2,ADJUSTER,394824586,1,0,1,0,0,state,348820,70648,,503690,19.8,17,Promoter,Renewal process was effortless and rates remain very competitive.,10,5799208444,1714176000000,Registered,Web Content,3,Policy,6255
Independent Agents,33,ERIC,HIGNOJOS,701913600000,1,17566909,1996341,General Lines Agent,"[""Dean & Draper Insurance Agency LP""]",Property and Casualty,ODESSA,"[""IA"",""IN""]",2,BACHELOR,F,OWN,5820717042,DIVORCED,1,2,AGENT,79765,1,1,1,0,0,state,483304,27375,1,4864441,7,8,Passive,Claims process is confusing and took too long.,6,5820717042,1751414400000,Sent,Paid Social,8,Billing,3912
Independent Agents,54,LINDA,COX,20822400000,1,9377658,1449917,General Lines Agent,"[""Robertson Ryan Insurance""]",Property and Casualty,RICHMOND,"[""NC"",""AR""]",2,HIGH_SCHOOL,M,MORTGAGE,5905694895,SINGLE,1,1,ADJUSTER,774696033,1,0,1,1,1,state,162060,37143,1,7732599,19.3,14,Passive,Neither dissatisfied nor excited about my experience.,8,5905694895,1756771200000,Visited,Web Content,0,,4435
Independent Agents,25,BRIANNA,RANDALL,945216000000,1,21388447,3262125,Pers Lines Prop and Cas Agent,"[""Relation Insurance Inc.""]",Personal Lines Prop and Cas,JACKSON,"[""IA"",""UT"",""NY"",""TX""]",4,ASSOCIATE,M,OWN,5932400267,WIDOWED,2,1,CONSULTANT,39204,1,0,0,1,0,state,424780,92736,,1508351,12.3,5,Passive,My request to update beneficiaries took weeks to process.,6,5932400267,1730678400000,Registered,Web Content,8,Website,4326
Independent Agents,45,RAYMOND,SMITH,329616000000,1,7560802,1212403,Adjuster,"[""Frost Insurance Agency""]",Adjuster - All Lines,WHITNEY,"[""VT"",""ND"",""OK""]",3,DOCTORATE,F,OWN,5981709868,DIVORCED,1,3,BROKER,76692,1,1,1,1,0,state,461256,95262,,7634015,15.3,14,Passive,Signed up mainly because of a friend's recommendation. So far OK.,8,5981709868,1699488000000,Visited,Referral,0,,4357
Independent Agents,44,RAYMOND,SMITH,352512000000,1,19695960,3304721,Life Agent,"[""Reliance Partners""]",Life Agent/Agency,HOLLYWOOD,"[""MO"",""AR"",""NE""]",3,DOCTORATE,F,OWN,5981709868,DIVORCED,1,3,BROKER,330261359,1,1,1,1,0,state,566588,19985,,3699354,2.3,14,Passive,Signed up mainly because of a friend's recommendation. So far OK.,8,5981709868,1699488000000,Visited,Referral,0,,4870
Independent Agents,32,JINGWEN,ZHAO,722736000000,1,20598955,2955328,General Lines Agent,"[""Sunstar Insurance Group""]","Life, Accident, Health & HMO",PLANO,"[""NE"",""WY"",""WV""]",3,ASSOCIATE,F,MORTGAGE,6032970406,WIDOWED,3,1,MANAGER,750240199,1,0,1,1,1,state,333625,32839,,41785251,2.4,9,Detractor,Difficult to get in touch with anyone after filing a claim.,4,6032970406,1658016000000,Registered,Paid Social,0,,3772
Independent Agents,41,JULIE,SALINAS,447033600000,1,20361741,2851898,Adjuster,"[""HUB International Ltd.""]",Adjuster - P&C,SAN ANTONIO,"[""SD"",""VA"",""CT""]",3,HIGH_SCHOOL,M,OTHER,6034743550,WIDOWED,3,3,AGENT,782880001,0,0,1,1,0,state,739807,46350,1,9800447,9,6,Detractor,Aggressive upselling without clarifying plan differences.,2,6034743550,1660262400000,Visited,Referral,2,Service,3564
Emerging Experts,45,KHALID,MCCOMBS,313113600000,1,20460076,3054846,General Lines Agent,"[""Shepherd Insurance""]","Life, Accident, Health & HMO",SOUTHFIELD,"[""AZ"",""CO"",""IL""]",3,DOCTORATE,N,MORTGAGE,6147766173,WIDOWED,3,0,ADJUSTER,480762665,1,0,1,1,1,state,621382,54094,,34299443,17.9,6,Detractor,Denied my hospitalization claim without sufficient reason.,3,6147766173,1729987200000,Visited,Search,7,Website,7763
Independent Agents,33,JASMINE,WARD,712886400000,1,8915757,1421217,Adjuster,"[""Unison Risk Advisors""]",Adjuster - P&C,SAN ANTONIO,"[""MT"",""AK"",""SC""]",3,DOCTORATE,M,RENT,6182058262,MARRIED,0,0,MANAGER,782292391,1,0,1,1,1,state,909911,69759,,139608885,4.7,9,Detractor,They keep sending repetitive marketing emails despite my opt-out.,4,6182058262,1722643200000,Visited,Multichannel Initiative,10,Billing,3776
Independent Agents,38,DONNA,SINCLAIR,525312000000,1,2772144,2557143,General Lines Agent,"[""Towne Insurance""]","Life, Accident, Health & HMO",LOVELAND,"[""IN""]",1,ASSOCIATE,F,MORTGAGE,6303825625,WIDOWED,3,0,SERVICE,451401088,0,1,1,0,1,state,537638,53561,,0,18.6,19,Promoter,I always receive quick support and detailed answers to all my queries.,10,6303825625,1699056000000,Clicked,Paid Social,0,,5983
Independent Agents,52,SMRUTIL,PATEL,112579200000,1,16802883,1791466,Life Agent,"[""Sterling Seacrest Pritchard""]",Life Agent/Agency,LEAGUE CITY,"[""WY""]",1,ASSOCIATE,F,OWN,6478799223,DIVORCED,3,3,BROKER,775734644,0,0,0,1,0,state,123818,51334,,2011107,13.5,8,Promoter,Helpful and caring representatives made sure I chose the right plan.,10,6478799223,1687219200000,Sent,Search,6,Billing,5308
Independent Agents,65,CALLISTA,UKEJE,-316396800000,1,19754616,2649679,Life Agent,"[""Home Services Insurance""]",Life Agent/Agency,LOS ANGELES,"[""AL"",""DC"",""TN""]",3,ASSOCIATE,M,OTHER,6511668000,MARRIED,2,1,AGENT,90047,0,0,1,1,1,state,340875,12278,,25784512,18.5,8,Promoter,Quick reimbursement for dental claims last month.,10,6511668000,1696636800000,Sent,Referral,0,,6392
Independent Agents,29,KIMBERLY,PACHECO,822182400000,1,17441132,1962707,General Lines Agent,"[""Vantage Insurance Partners""]","Life, Accident, Health & HMO",DALLAS,"[""VT""]",1,HIGH_SCHOOL,M,RENT,6562894782,SINGLE,2,2,SERVICE,75201,1,0,1,0,0,state,127221,15520,,0,2.7,11,Passive,"Decent options for add-ons, though plan features could be clearer.",7,6562894782,1598313600000,Sent,Web Content,7,Sales,4285
Independent Agents,25,AMIEE,PYATT,947376000000,1,18711601,2274418,Adjuster - DHS Texas,"[""Commercial Insurance Associates""]",Adjuster - All Lines DHS TX,GALENA,"[""MO"",""CT"",""NV"",""WV""]",4,ASSOCIATE,F,MORTGAGE,6593704289,SINGLE,3,0,MANAGER,656567484,1,0,0,0,0,state,863008,87685,,7701550,18.3,5,Passive,Have to chase the company for every small update.,6,6593704289,1740787200000,Visited,Web Content,7,Claims,4343
Independent Agents,65,JAMES,HARDMAN,-322704000000,1,8663541,2073752,Adjuster,"[""Hausmann Group""]",Adjuster - P&C,DOYLESTOWN,"[""VT"",""CA""]",2,BACHELOR,M,RENT,6677558971,MARRIED,0,0,CONSULTANT,18902,1,0,1,0,1,state,671553,19773,1,8611663,15.3,9,Passive,Denied my hospitalization claim without sufficient reason.,5,6677558971,1617494400000,Sent,Email Non Nurture,0,,4920
Emerging Experts,46,JAMES,HARDMAN,281923200000,1,3010440,1831458,General Lines Agent,"[""Ross & Yerger Insurance""]","Life, Accident, Health & HMO",ALEXANDRIA,"[""OK""]",1,BACHELOR,F,RENT,6677558971,MARRIED,0,0,CONSULTANT,223051609,1,0,1,0,1,state,569620,49419,,3106266,11.4,9,Passive,Denied my hospitalization claim without sufficient reason.,5,6677558971,1617494400000,Sent,Email Non Nurture,0,,4608
Independent Agents,53,KARIN,REED,68256000000,1,17288050,1951913,General Lines Agent,"[""King Risk Partners""]","Life, Accident, Health & HMO",HINSDALE,"[""NY"",""GA""]",2,DOCTORATE,M,MORTGAGE,6702624438,MARRIED,3,3,MANAGER,605213753,0,1,0,0,0,state,330806,65903,1,0,10.2,3,Passive,Signed up mainly because of a friend's recommendation. So far OK.,7,6702624438,1678924800000,Visited,Web Content,0,,4340
Comfortable retirees,62,DEVON,LEITH,-214185600000,1,6889021,2688282,General Lines Agent,"[""Charles L. Crane Agency""]","Life, Accident, Health & HMO",CEDAR RAPIDS,"[""WV"",""ND"",""IA"",""PA""]",4,HIGH_SCHOOL,M,MORTGAGE,6772398560,WIDOWED,3,4,AGENT,524012002,1,1,1,1,0,state,212836,31997,,7305114,20,7,Passive,"Customer support is helpful sometimes, slow to respond other times.",7,6772398560,1664323200000,Visited,Web Content,0,,4795
Independent Agents,28,JESSICA,JANKOWIAK,858470400000,1,11124637,3279453,General Lines Agent,"[""Buckner Company""]",Property and Casualty,EVANSTON,"[""ME"",""IN""]",2,MASTER,M,OWN,6791098046,WIDOWED,2,0,ADJUSTER,60201,1,0,0,1,1,state,597166,89646,1,0,10.6,4,Detractor,Cover for critical illness isn't what was promised on the brochure.,4,6791098046,1694476800000,Visited,Web Content,10,Website,3155
Independent Agents,66,ALEAH,HOLCOMBE,-328492800000,1,17854609,3004170,Pers Lines Prop and Cas Agent,"[""OVD Insurance""]",Personal Lines Prop and Cas,PETERSBURG,"[""MO""]",1,DOCTORATE,M,MORTGAGE,6881241706,DIVORCED,0,4,AGENT,238034137,0,1,0,1,1,state,658762,79833,,4012374,1.1,4,Passive,Premiums increase without transparent explanations each year.,5,6881241706,1593216000000,Attended,Web Content,4,Website,4360
Independent Agents,26,RICHARD,HERNANDEZ,908582400000,1,1202147,239278,Adjuster,"[""Ross & Yerger Insurance""]",Adjuster - P&C,SAN ANTONIO,"[""DC"",""ID"",""KS"",""DE""]",4,MASTER,M,MORTGAGE,6885234039,SINGLE,3,3,BROKER,782512315,0,1,1,1,0,state,425505,46382,,0,7.8,14,Passive,Received generic responses on email but issues were eventually resolved.,8,6885234039,1738800000000,Visited,Web Content,0,,4268
Independent Agents,26,TAMMY,LAWS,928368000000,1,9064840,3092978,General Lines Agent,"[""Insurance Office of America Inc.""]",Property and Casualty,LOS ANGELES,"[""OH"",""HI"",""MO"",""WV""]",4,MASTER,M,OTHER,7081406834,SINGLE,3,3,SERVICE,900175850,0,1,0,1,0,state,515382,25721,,1259276,13.6,3,Passive,They keep sending repetitive marketing emails despite my opt-out.,5,7081406834,1732233600000,Registered,Search,2,Website,4330
Independent Agents,27,BRIANNA,AUSTIN,899856000000,1,17049992,2791174,General Lines Agent,"[""TWFG""]","Life, Accident, Health & HMO",BOSTON,"[""NV"",""DE"",""ID""]",3,MASTER,M,RENT,7103141937,DIVORCED,0,3,SERVICE,021165066,0,1,1,1,0,state,869859,53318,1,37177771,11.1,9,Passive,My request to update beneficiaries took weeks to process.,6,7103141937,1591056000000,Registered,Search,3,Claims,4632
Independent Agents,32,SAM,SMITH,743731200000,1,1120287,711733,General Lines Agent,"[""Ross & Yerger Insurance""]","Life, Accident, Health & HMO",CLEVELAND,"[""VT"",""WI"",""AR""]",3,BACHELOR,F,RENT,7126752055,DIVORCED,3,3,SERVICE,77327,1,0,1,1,1,state,818002,99296,,7552671,4.4,9,Promoter,I always receive quick support and detailed answers to all my queries.,10,7126752055,1745452800000,Attended,Referral,12,Claims,6453
Independent Agents,35,ANGELA,TROMPLER,642902400000,1,20785850,3035029,Life Agent,"[""EPIC Insurance Brokers & Consultants""]",Life Agent/Agency,GRANDVIEW,"[""NY""]",1,HIGH_SCHOOL,M,MORTGAGE,7157049878,WIDOWED,0,4,ADJUSTER,76050,1,1,0,0,0,state,705303,28355,,0,7.7,3,Passive,Premiums are about what I expected compared to other insurers.,7,7157049878,1679011200000,Sent,Web Content,0,,5707
Independent Agents,35,ANDREW,REED,648172800000,1,19607960,2566328,Adjuster,"[""James G Parker Insurance Associates""]",Adjuster - P&C,DES MOINES,"[""AR"",""MI""]",2,DOCTORATE,F,RENT,7180451212,DIVORCED,1,3,AGENT,503093810,1,1,1,0,1,state,837579,45567,1,0,4.8,11,Passive,Most interactions have been average – neither notably good nor bad.,7,7180451212,1687132800000,Visited,Web Content,0,,4769
Independent Agents,50,PAUL,RIEKE,156902400000,1,5066236,2481280,General Lines Agent,"[""Turner Surety & Insurance Brokerage""]",Property and Casualty,MAPLEWOOD,"[""MA"",""IL"",""MN"",""FL""]",4,ASSOCIATE,F,OTHER,7217706636,SINGLE,2,1,BROKER,63143,0,1,0,0,0,state,886807,59006,,590494,11.3,13,Passive,Premiums are about what I expected compared to other insurers.,8,7217706636,1704412800000,Visited,Search,9,Policy,4412
Emerging Experts,48,NINA,LINDHORST,234662400000,1,19647626,3190113,General Lines Agent,"[""Bowen, Miclette & Britt Insurance Agency LLC""]","Life, Accident, Health & HMO",WATERLOO,"[""AK"",""IL""]",2,BACHELOR,F,OTHER,7252588522,WIDOWED,2,0,BROKER,62298,0,1,1,0,1,state,981093,74971,,24071782,16.1,6,Detractor,Customer service lines are always busy and staff rarely follow up.,1,7252588522,1568073600000,Sent,Referral,2,Sales,7508
Independent Agents,63,KILA-KITU,GARRETT,-235526400000,1,9078510,3303882,Adjuster - DHS Texas,"[""USI Insurance Services""]",Adjuster - All Lines DHS TX,KANSAS CITY,"[""TX"",""UT"",""AL""]",3,BACHELOR,F,OTHER,7262391838,SINGLE,1,4,SERVICE,66101,0,0,1,1,0,state,109890,95918,,0,6,5,Promoter,Support team provided expert advice in optimizing my coverage.,9,7262391838,1686096000000,Registered,Paid Social,11,Sales,6555
